Item No.,Class Code,Dept #,Description,Whs No.,quantity,Sold Qty,Adj. Qty,Receive Qty,End In Stock,Average Cost,Current Cost,Ext Amount
F1167,23,Dining,Vol1.P158-|HEIGHT CHAIR D.BROWN MW F2329/F2347,HOU,                   -,,,,-4,41.8,41.8,-167.2
F1207,23,*DISC*,Vol1.P157-|  CHAIRS ONLY,HOU,,,,,2,33.2,33.2,66.5
F1277,D,*DISC*,[DISC] Cat.21.P134-|DINING CHAIR BLACK MW F2211,DMG,,,,,4,23.7,23.7,95
F1439,22,DINING,Cat.21.P136-|DINING CHAIR BLACK MW F2200,DMG,,,,,4,30.4,30.4,121.6
F1556,23,Dining,"Vol1.P124-|ADJUSTABLE BARSTOOL GREY 32""-38""H MW F1555",DMG,,,,,2,41.9,41.8,83.98
F1557,23,Dining,"Vol1.P125-|ADJUSTABLE BARSTOOL BLACK 37""-45""H MW F1558",DMG,,,,,2,44.6,44.6,89.3
F1565,23,Dining,"Vol1.P123-|ADJUSTABLE BARSTOOL BLACK 37""-45""H MW F1566",DMG,,,,,2,41.4,41.4,82.85
F1566,23,Dining,"Vol1.P123-|ADJUSTABLE BARSTOOL WHITE 37""-45""H MW F1565",DMG,2,,,,20,37,37,741
F1567,23,Dining,"Vol1.P126-|ADJUSTABLE BARSTOOL WHITE 37""-45""H MW F1568",DMG,,,,,2,46.5,46.5,93.1
F1571,23,*DISC*,Vol1.P173-  CHAIR ONLY,HOU,,,,,4,43.7,43.7,174.8
F1705,23,Dining,Vol1.P179-|DINING CHAIR MW F2428/F2430/F2431/F2432,DMG,,,,,2,39.9,50.2,79.8
F1752,23,*DISC*,Vol1.P145- !!!CHAIR SILVER!!!,HOU,1,,,,12,38.3,38.3,460.46
F1753,23,*DISC*,Vol1.P145- DINING BENCH,HOU,,,,,2,54.7,54.7,109.44
F1754,23,Dining,Vol1.P146-|HEIGHT CHAIR BLACK MW F2461,DMG,,,,,2,29.1,29.1,58.21
F1755,23,Dining,Vol1.P146-|HEIGHT BENCH BLACK MW F2461,DMG,,,,,1,56,56,56.05
F1757,23,*DISC*,Vol1.P146-  BENCH ONLY,HOU,,,,,5,53.4,52.5,267
F1771,21,*DISC*,Cat.21.P171- DINING CHAIR,HOU,1,,,,12,49.4,49.4,592.8
F1772,21,*DISC*,Cat.21.P172-|DINING CHAIR,HOU,1,,,,14,48.1,48.1,673.87
F1775,23,*DISC*,Vol1.P171-|BENCH ONLY,HOU,,,,,1,75,75,75.05
F2053,23,Dining,Vol1.P125-|BAR STAND GLASS BLACK MW F1565/F1566,DMG,,,,,1,91.9,91.9,91.92
F2053,23,Dining,Vol1.P125-|BAR STAND GLASS BLACK MW F1565/F1566,HOU,,,,,5,91.9,91.9,459.59
F2059,23,Dining,Vol1.P126-|BAR STAND GLASS WHITE MW F1565/F1566,HOU,5,,,,58,91.1,91.1,5287.25
F2059,23,Dining,Vol1.P126-|BAR STAND GLASS WHITE MW F1565/F1566,SHOW,,,,,1,91.1,91.1,91.16
F2114,23,Dining,Vol1.P123-|BAR STAND GLASS BLACK MW F1624/F1628/F1629/F1630,DMG,,,,,1,86.4,86.4,86.4
F2114,23,Dining,Vol1.P123-|BAR STAND GLASS BLACK MW F1624/F1628/F1629/F1630,HOU,1,,,,12,86.6,86.6,1039.43
F2120,23,Dining,Vol1.P124-|BAR STAND GLASS WHITE MW F1624/F1628/F1629/F1630,HOU,4,,,,40,86,86,3442.67
F2120,23,Dining,Vol1.P124-|BAR STAND GLASS WHITE MW F1624/F1628/F1629/F1630,SHOW,,,,,1,86.4,86.4,86.4
F2153,23,*DISC*,Vol1.P150-  ONLY DINING TABLE GLASS TOP MW1857,SHOW,,,,,1,160.5,160.5,160.55
F2211,D,*DISC*,[DISC] Cat.21.P134-|DINING TABLE ROUND MW F1273/F1277,DMG,,,,,1,104,72,104
F2212,D,*DISC*,[DISC] Cat.21.P133-|DINING TABLE MW F1274/F1748,DMG,,,,,3,78.3,78.3,234.9
F2224,D,*DISC*,[DISC] Cat.21.P133-|HEIGHT TABLE GLASS MW F1222/F1749,DMG,,,,,1,76.5,76.5,76.5
F2225,D,DINING,[DISC] CAT.20.P86-|DINING TABLE MW F1273/F1277,SHOW,,,,,1,76.5,76.5,76.5
F2329,23,*DISC*,Vol1.P158-   !!!! TABLE ONLY !!!!,HOU,,,,,1,118,118,118.05
F2347,23,*DISC*,Vol1.P157-   !!!!COUNTER  TABLE ONLY!!!,HOU,,,,,1,127.3,127.3,127.3
F2432,23,Dining,Vol1.P180-|DINING TABLE MW F1705/F6034,DMG,,,,,1,135.9,208,135.9
F3087,23,ACCESSOR,Vol1.P108-|3PCS COFFEE TABLE SET GLASS TOP CLEAR,DMG,,,,,7,139.7,114.5,978.05
F3087,23,ACCESSOR,Vol1.P108-|3PCS COFFEE TABLE SET GLASS TOP CLEAR,HOU,3,,,,34,110.3,110.3,3750.56
F3087,23,ACCESSOR,Vol1.P108-|3PCS COFFEE TABLE SET GLASS TOP CLEAR,SHOW,,,,,1,119.5,110.3,119.57
F3098,23,ACCESSOR,Vol1.P108-|3PCS COFFEE TABLE SET GLASS TOP CLEAR,HOU,,,,,3,108.3,108.3,324.93
F3143,23,Living,Vol1.P109-|3PCS COFFEE TABLE SET VENEER TOP,DMG,,,,,1,59.4,59.4,59.4
